Marka	Grad	Cena	Godina proizvodnje	Karoserija	Gorivo	Zapremina motora	Kilometraza	Konjske snage	Menjac
MG	Subotica	18490	2024	Džip/SUV	Benzin	1498	12000.0	106	Manuelni
Nissan	Koceljeva	13500	2017	Džip/SUV	Benzin	1197	171000.0	116	Automatski
Land	Mačvanska Mitrovica	3300	2006	Džip/SUV	Dizel	2926	190000.0	177	Automatski
Opel	Novi Sad	1650	2006	Hečbek	Benzin	1229	154117.0	75	Manuelni
Citroen	Jagodina	12300	2019	Džip/SUV	Dizel	1499	128655.0	102	Manuelni
Renault	Kosjerić	4500	2011	Monovolumen (MiniVan)	Benzin	1598	187000.0	106	Manuelni
Alfa Romeo	Ralja	1500	2005	Kupe	Dizel	1910	278812.0	150	Manuelni
Mercedes Benz	Beograd	20790	2019	Karavan	Dizel	1461	138821.0	116	Automatski
BMW	Novi Banovci	21900	2018	Limuzina	Dizel	1995	203000.0	190	Automatski
Volkswagen	Novi Bečej	14999	2013	Hečbek	Benzin	1984	215121.0	220	Automatski
Volkswagen	Novi Sad	7500	2014	Monovolumen (MiniVan)	Dizel	1598	230000.0	105	Manuelni
Mazda	Beograd	2800	2009	Hečbek	Benzin	1349	222000.0	84	Manuelni
Alfa Romeo	Gornji Milanovac	3850	2010	Hečbek	Benzin	1368	172700.0	105	Manuelni
Opel	Kragujevac	3199	2009	Hečbek	Benzin	1568	195815.0	105	Manuelni
Nissan	Inđija	18000	2020	Džip/SUV	Benzin	1332	123000.0	158	Automatski
Opel	Beograd	6300	2008	Džip/SUV	Dizel	1991	190620.0	150	Automatski
Opel	Ugrinovci	5200	2009	Limuzina	Benzin + Gas (TNG)	1796	167000.0	140	Manuelni
Volkswagen	Niš	1450	2001	Hečbek	Benzin	1390	220000.0	60	Manuelni
Opel	Ruma	4499	2010	Hečbek	Benzin	1398	187000.0	87	Manuelni
Fiat	Beograd	3650	2010	Hečbek	Dizel	1248	164390.0	84	Manuelni
Audi	Paraćin	8800	2006	Džip/SUV	Dizel	2967	285661.0	232	Automatski
Audi	Beograd	18750	2016	Džip/SUV	Dizel	1968	201420.0	184	Automatski
Audi	Prokuplje	8999	2009	Limuzina	Dizel	1968	323000.0	136	Manuelni
Volkswagen	Beška	1900	2003	Hečbek	Benzin	1198	206000.0	54	Manuelni
Renault	Kruševac	1890	2008	Karavan	Dizel	1461	290626.0	103	Manuelni
Opel	Kruševac	850000	2004	Limuzina	Benzin + Gas (TNG)	2198	394120.0	147	Manuelni
BMW	Zrenjanin	6200	2009	Džip/SUV	Dizel	2000	190000.0	177	Automatski
Peugeot	Šabac	6290	2017	Hečbek	Dizel	1560	165233.0	99	Manuelni
BMW	Bajmok	8400	2011	Džip/SUV	Benzin	1995	138000.0	150	Manuelni
Hummer	Subotica	25000	2006	Džip/SUV	Benzin + Gas (TNG)	3500	92000.0	223	Automatski
Renault	Beograd	3000	2009	Hečbek	Benzin	1149	162000.0	75	Manuelni
Fiat	Novi Banovci	7300	2016	Limuzina	Dizel	1598	133000.0	120	Manuelni
Citroen	KRAGUJEVAC	7999	2018	Hečbek	Dizel	1499	159000.0	102	Manuelni
Audi	Niš	6250	2007	Hečbek	Dizel	1896	171000.0	105	Manuelni
Citroen	Beograd	14500	2019	Džip/SUV	Dizel	1499	160970.0	131	Manuelni
Peugeot	Niš	650000	2001	Hečbek	Benzin	1360	180000.0	75	Manuelni
Mercedes Benz	Senjak	22000	2017	Limuzina	Dizel	1950	162700.0	194	Automatski
BMW	Vlasotince	4400	2006	Limuzina	Dizel	2000	241000.0	163	Automatski
Volkswagen	Novi Sad	24950	2017	Hečbek	Benzin	1984	173000.0	280	Automatski
Mercedes Benz	Voždovac	56500	2017	Džip/SUV	Benzin	5461	146000.0	585	Automatski
Opel	Mokrin	5000	2011	Karavan	Dizel	1686	196624.0	110	Manuelni
Škoda	Dobanovci	6500	2010	Limuzina	Dizel	1896	158000.0	101	Manuelni
BMW	Beograd	27000	2013	Limuzina	Dizel	2993	115200.0	313	Automatski
Opel	Zemun	12490	2020	Hečbek	Benzin	1199	97106.0	101	Automatski
Audi	Tibužde	1700	2002	Karavan	Dizel	1896	28650.0	131	Manuelni
Peugeot	Valjevo	15950	2017	Džip/SUV	Benzin	1199	198000.0	131	Manuelni
Fiat	Lazarevac	1800	2004	Hečbek	Dizel	1248	340000.0	69	Manuelni
Audi	Prokuplje	8999	2009	Limuzina	Dizel	1968	323000.0	136	Manuelni
Citroen	Čačak	4000	2011	Monovolumen (MiniVan)	Benzin + Gas (TNG)	1397	183572.0	95	Manuelni
Opel	Zaječar	3400	2008	Monovolumen (MiniVan)	Benzin	1598	167136.0	179	Manuelni
Peugeot	Beograd	7190	2017	Hečbek	Benzin	1199	122602.0	82	Manuelni
Fiat	Pirot	5000	2010	Limuzina	Dizel	1300	135000.0	75	Manuelni
BMW	Zvezdara	12000	2010	Limuzina	Benzin	2996	186000.0	204	Automatski
Volkswagen	Beograd	5900	2010	Hečbek	Benzin + Metan (CNG)	1390	186699.0	86	Manuelni
Škoda	Kanjiža	5350	2013	Hečbek	Benzin	1197	170000.0	86	Manuelni
Citroen	Beograd	2200	2007	Limuzina	Benzin	1749	166000.0	125	Manuelni
Volkswagen	Svilajnac	11000	2013	Hečbek	Benzin	1984	193000.0	230	Automatski
Renault	Čačak	14000	2019	Džip/SUV	Dizel	1461	177000.0	116	Manuelni
Volkswagen	Beograd	11000	2019	Limuzina	Benzin + Metan (CNG)	999	45000.0	90	Manuelni
Fiat	Batajnica	4250	2010	Monovolumen (MiniVan)	Benzin + Metan (CNG)	1386	215000.0	77	Manuelni
Toyota	Aranđelovac	9590	2019	Hečbek	Benzin	998	65559.0	69	Manuelni
Ford	Zvezdara	1950	2004	Kupe	Benzin	1597	205000.0	94	Manuelni
Volkswagen	Aranđelovac	1900	2004	Hečbek	Benzin	1198	220000.0	64	Manuelni
Volkswagen	Predejane (Varoš)	1650	2001	Hečbek	Benzin	1595	260000.0	105	Manuelni
Peugeot	Beograd	13849	2021	Džip/SUV	Benzin	1199	111829.0	101	Manuelni
Kia	Zemun	12999	2018	Hečbek	Dizel	1582	113300.0	136	Automatski
Volkswagen	Beograd	6000	2009	Kupe	Dizel	1968	271000.0	140	Manuelni
Fiat	Novi Beograd	3200	2010	Hečbek	Benzin + Gas (TNG)	1242	260000.0	69	Manuelni
Ford	Voždovac	2000	2005	Hečbek	Benzin + Gas (TNG)	1596	300690.0	116	Manuelni
Fiat	Novi Beograd	3200	2010	Hečbek	Benzin + Gas (TNG)	1242	260000.0	69	Manuelni
Fiat	Čenta	3000	2011	Hečbek	Benzin	875	79000.0	84	Manuelni
Fiat	Beograd	3650	2010	Hečbek	Dizel	1248	164390.0	84	Manuelni
Seat	Vladičin Han	800000	2002	Karavan	Dizel	1896	314218.0	90	Manuelni
Volkswagen	Čačak	2900	2004	Monovolumen (MiniVan)	Dizel	1896	200000.0	105	Automatski
Audi	Beograd	26000	2019	Limuzina	Dizel	1968	158000.0	190	Automatski
Ford	Rakovica	3800	2010	Hečbek	Dizel	1399	224928.0	68	Manuelni
Volkswagen	Novi Bečej	5299	2009	Hečbek	Dizel	1598	212100.0	75	Manuelni
Peugeot	Majur	19290	2019	Džip/SUV	Dizel	1997	155614.0	177	Automatski
Honda	Šid	13300	2016	Džip/SUV	Dizel	1597	315000.0	160	Automatski
Citroen	Čačak	5950	2012	Monovolumen (MiniVan)	Dizel	1560	241000.0	92	Manuelni
Peugeot	Loznica	1250	2002	Hečbek	Benzin	1997	300000.0	136	Manuelni
MG	Kragujevac	15990	2023	Džip/SUV	Benzin	1498	5000.0	106	Manuelni
BMW	Sjenica	2700	2004	Limuzina	Dizel	1999	320000.0	120	Manuelni
Škoda	Beograd	10900	2015	Karavan	Dizel	1968	250000.0	150	Manuelni
Volkswagen	Pančevo	6000	2010	Karavan	Dizel	1968	211493.0	170	Automatski
BMW	Novi Bečej	3500	2000	Limuzina	Dizel	1951	380000.0	136	Manuelni
Volkswagen	Borča	2000	2004	Limuzina	Dizel	1896	236000.0	131	Manuelni
Opel	Jajinci	8350	2020	Karavan	Benzin	1199	139900.0	110	Manuelni
Land	Zemun	38990	2020	Džip/SUV	Dizel	1999	140051.0	241	Automatski
Peugeot	Aradac	6800	2015	Džip/SUV	Benzin	1199	115783.0	110	Manuelni
Citroen	Jagodina	11350	2019	Hečbek	Benzin	1199	108661.0	110	Manuelni
Alfa Romeo	Beograd	2800	2010	Hečbek	Benzin	1368	250000.0	120	Manuelni
Audi	Čačak	6700	2009	Hečbek	Dizel	1968	323900.0	140	Automatski
Opel	Kragujevac	14800	2020	Džip/SUV	Dizel	1499	165000.0	131	Automatski
Citroen	Rekovac	1450	2007	Hečbek	Benzin	998	211523.0	68	Manuelni
Dacia	Kanjiža	6250	2017	Džip/SUV	Benzin	898	161198.0	90	Manuelni
Ford	Batajnica	1000	2001	Karavan	Benzin + Gas (TNG)	1596	281332.0	101	Manuelni
Jeep	Valjevo	12900	2015	Džip/SUV	Dizel	1956	214979.0	170	Automatski
Renault	Kragujevac	1000	2002	Hečbek	Dizel	1461	200000.0	65	Manuelni
Renault	Loznica	5199	2012	Karavan	Benzin	1198	114000.0	116	Manuelni
Toyota	Ljutovo	3650	2009	Hečbek	Benzin	998	193000.0	69	Manuelni
Renault	Kragujevac	3200	2009	Monovolumen (MiniVan)	Dizel	1461	286446.0	106	Manuelni
Citroen	Mladenovac	1950	2003	Monovolumen (MiniVan)	Dizel	1970	350000.0	109	Manuelni
Land	Čačak	35990	2021	Džip/SUV	Dizel	1999	80927.0	163	Automatski
Volkswagen	BEOGRAD	4199	2008	Karavan	Dizel	1896	202943.0	105	Manuelni
Renault	Beška	1150	2005	Monovolumen (MiniVan)	Dizel	1870	250000.0	120	Manuelni
Renault	Kragujevac	1900	2004	Monovolumen (MiniVan)	Dizel	1461	356789.0	65	Manuelni
Renault	Novi Sad	13600	2018	Limuzina	Dizel	1598	149500.0	131	Manuelni
Škoda	Obrež	10300	2015	Hečbek	Dizel	1968	250000.0	184	Automatski
Seat	Obrenovac	3950	2008	Monovolumen (MiniVan)	Benzin	1390	206000.0	125	Manuelni
Kia	Čačak	11950	2019	Karavan	Dizel	1598	133000.0	116	Automatski
Ford	Mrčajevci	2450	2007	Kupe	Benzin	1600	180160.0	101	Manuelni
Ford	Sremska Mitrovica	1300	2002	Limuzina	Benzin	1600	145000.0	101	Manuelni
Seat	Alibunar	3699	2010	Hečbek	Dizel	1199	168582.0	75	Manuelni
Opel	Ada	4500	2008	Džip/SUV	Dizel	2000	210000.0	150	Automatski
Peugeot	Pančevo	18590	2021	Džip/SUV	Dizel	1499	143550.0	131	Automatski
Fiat	Kragujevac	4799	2013	Kabriolet/Roadster	Benzin	875	187421.0	84	Manuelni
Daihatsu	Kraljevo	3800	1994	Džip/SUV	Benzin + Gas (TNG)	1600	50000.0	82	Manuelni
BMW	Bežanijska Kosa	34490	2019	Džip/SUV	Dizel	1995	182624.0	190	Automatski
Citroen	Batočina	9050	2014	Monovolumen (MiniVan)	Dizel	1997	275000.0	150	Automatski
Volkswagen	Kosjerić	1300	2000	Hečbek	Benzin	1390	243000.0	75	Manuelni
Audi	Futog	10350	2012	Karavan	Dizel	1968	195496.0	177	Automatski
Nissan	Mladenovac	1500	2007	Džip/SUV	Dizel	1461	245000.0	106	Manuelni
Toyota	Beograd	4600	2011	Hečbek	Benzin	1329	216558.0	99	Manuelni
Audi	Obrenovac	17799	2013	Limuzina	Dizel	2967	224118.0	313	Automatski
Mercedes Benz	Beograd	1399	2001	Limuzina	Dizel	2148	400000.0	150	Automatski
BMW	Kovin	4799	2008	Karavan	Dizel	1995	202000.0	177	Manuelni
Fiat	Krajišnik	500000	2001	Hečbek	Dizel	1910	299000.0	101	Manuelni
Volkswagen	Niš	27500	2021	Hečbek	Benzin	1984	87000.0	245	Automatski
Opel	Kovin	1850	2003	Hečbek	Benzin	1200	141000.0	75	Manuelni
Seat	Obrenovac	3950	2008	Monovolumen (MiniVan)	Benzin	1390	206000.0	125	Manuelni
Smart	Kragujevac	1900	2002	Hečbek	Benzin	600	156100.0	54	Automatski
Renault	Kragujevac	5499	2013	Monovolumen (MiniVan)	Dizel	1461	245838.0	110	Manuelni
Opel	Ečka	2000	2009	Hečbek	Benzin	998	190000.0	60	Manuelni
BMW	Kać	9600	2011	Karavan	Dizel	2000	267000.0	163	Manuelni
Opel	Braće Jerković	6700	2013	Monovolumen (MiniVan)	Dizel	1956	277000.0	165	Automatski
Volkswagen	Bečej	5200	2006	Limuzina	Dizel	1896	174256.0	105	Manuelni
Volkswagen	Subotica	4999	2010	Hečbek	Dizel	1199	190807.0	75	Manuelni
Citroen	Beograd	2200	2007	Limuzina	Benzin	1749	166000.0	125	Manuelni
Volkswagen	Bačka Palanka	6750	2010	Hečbek	Dizel	1598	241549.0	105	Manuelni
Škoda	Beograd	14999	2019	Hečbek	Dizel	1968	197000.0	150	Automatski
Škoda	Vrčin	14999	2017	Hečbek	Dizel	1968	201000.0	150	Automatski
Peugeot	Beograd	13200	2017	Džip/SUV	Dizel	1560	175000.0	120	Manuelni
Hyundai	Jagodina	34490	2024	Džip/SUV	Dizel	1598	1000.0	136	Automatski
Peugeot	Zrenjanin	2300	2005	Karavan	Dizel	1997	209000.0	136	Manuelni
BMW	Loznica	9900	2010	Džip/SUV	Dizel	1995	219475.0	177	Automatski
Opel	Zrenjanin	22990	2024	Džip/SUV	Benzin	1229	5000.0	136	Manuelni
Volkswagen	Surčin	16995	2020	Karavan	Dizel	1989	195000.0	150	Automatski
Opel	Beograd	23000	2023	Džip/SUV	Benzin	1199	30754.0	131	Automatski
BMW	Pančevo	5300	2010	Karavan	Dizel	2000	202000.0	143	Automatski
Ford	Stari Ledinci	3450	2010	Karavan	Dizel	1560	256000.0	109	Manuelni
Volkswagen	Beograd	7150	2011	Hečbek	Dizel	1598	222350.0	105	Manuelni
Ford	Niš	2750	2006	Karavan	Benzin	1599	213200.0	101	Manuelni
Peugeot	Subotica	2800	2006	Hečbek	Benzin	1360	185579.0	75	Manuelni
Renault	Kosjerić	4500	2011	Monovolumen (MiniVan)	Benzin	1598	187000.0	106	Manuelni
Renault	Ugrinovci	6199	2015	Hečbek	Dizel	1461	172238.0	75	Manuelni
Volkswagen	Paraćin	1000	1996	Hečbek	Benzin	1796	13226.0	90	Manuelni
Audi	Novi Pazar	3550	2005	Karavan	Benzin	1984	296000.0	200	Manuelni
Mercedes Benz	Beograd	4950	2008	Kupe	Dizel	2148	215000.0	150	Automatski
Peugeot	Prijepolje	2200	2004	Monovolumen (MiniVan)	Dizel	1997	293000.0	90	Manuelni
Renault	Jagodina	8450	2018	Hečbek	Dizel	1461	165602.0	75	Manuelni
Opel	Karaburma	1350	2000	Monovolumen (MiniVan)	Dizel	1995	263000.0	101	Manuelni
Škoda	Požega	4800	2008	Karavan	Dizel	1968	230000.0	140	Manuelni
BMW	Sjenica	2700	2004	Limuzina	Dizel	1999	320000.0	120	Manuelni
Audi	Vrčin	13999	2012	Limuzina	Hibridni pogon (Benzin)	1995	200000.0	211	Automatski
Hyundai	Beograd	18000	2023	Hečbek	Benzin	1498	24700.0	110	Manuelni
Honda	Novi Sad	17500	2017	Džip/SUV	Benzin	1997	169000.0	155	Manuelni
Škoda	Surčin	8300	2013	Limuzina	Dizel	1598	275000.0	105	Manuelni
Audi	Batajnica	9000	2011	Limuzina	Dizel	1968	290000.0	120	Manuelni
Volkswagen	Novi Sad	9100	2009	Džip/SUV	Benzin	1984	188505.0	200	Automatski
Opel	Beograd	14249	2023	Hečbek	Benzin	1199	36011.0	75	Manuelni
Alfa Romeo	Kaluđerica	4250	2011	Hečbek	Dizel	1248	210000.0	84	Manuelni
Jeep	Valjevo	12900	2015	Džip/SUV	Dizel	1956	214979.0	170	Automatski
BMW	Surčin	11000	2013	Limuzina	Dizel	1995	213000.0	184	Manuelni
Audi	Vrčin	3499	2005	Limuzina	Benzin + Gas (TNG)	1985	305832.0	131	Manuelni
Volkswagen	Novi Beograd	19800	2016	Limuzina	Dizel	1968	172000.0	190	Automatski
BMW	Novi Sad	20990	2018	Limuzina	Dizel	1995	216000.0	190	Automatski
Renault	Beograd	3100	2009	Karavan	Dizel	1995	270000.0	150	Manuelni
Alfa Romeo	Voždovac	5500	2011	Hečbek	Dizel	1956	280000.0	170	Manuelni
Opel	Šabac	13499	2021	Hečbek	Benzin	1199	60000.0	101	Automatski
Volkswagen	Kraljevo	3200	2005	Hečbek	Benzin	1598	300000.0	116	Manuelni
Ford	Kragujevac	3500	2008	Karavan	Dizel	1753	284000.0	125	Manuelni
Peugeot	Loznica	3250	2011	Karavan	Dizel	1560	148500.0	92	Manuelni
Ford	Beograd	8200	2017	Monovolumen (MiniVan)	Dizel	1997	330000.0	150	Automatski
BMW	Obrenovac	6150	2007	Džip/SUV	Dizel	1995	229600.0	150	Manuelni
Seat	Kraljevo	4100	2007	Džip/SUV	Dizel	1960	350000.0	170	Manuelni
Renault	Beograd	13950	2020	Džip/SUV	Dizel	1461	168869.0	116	Manuelni
Opel	Ub	3800	2010	Hečbek	Dizel	1248	282000.0	95	Manuelni
Toyota	Leskovac	3990	2009	Hečbek	Dizel	1364	213000.0	90	Manuelni
Škoda	Bečej	15190	2017	Hečbek	Dizel	1968	237231.0	190	Automatski
BMW	Niš	8000	2006	Kabriolet/Roadster	Benzin	2497	296000.0	177	Manuelni
BMW	ZEMUN	3300	2007	Karavan	Dizel	1995	251500.0	122	Manuelni
Kia	Šabac	23739	2025	Hečbek	Benzin	1482	1000.0	140	Automatski
Fiat	Beograd	4950	2016	Hečbek	Benzin + Metan (CNG)	1368	145232.0	77	Manuelni
Kia	Beograd	12999	2021	Hečbek	Benzin	998	50183.0	101	Manuelni
Renault	Kragujevac	3300	2009	Monovolumen (MiniVan)	Benzin	1149	201000.0	101	Manuelni
Audi	Požarevac	5200	2011	Karavan	Dizel	1968	274356.0	170	Manuelni
Ford	Beograd	6499	2016	Karavan	Dizel	1499	209392.0	120	Automatski
Volvo	Beograd	37990	2021	Džip/SUV	Hibridni pogon (Dizel)	1969	113657.0	197	Automatski
Peugeot	Aleksinac	1899	2002	Hečbek	Benzin	1587	200853.0	109	Manuelni
Citroen	Beograd	8800	2016	Monovolumen (MiniVan)	Dizel	1560	200000.0	120	Automatski
Škoda	Subotica	9999	2017	Limuzina	Dizel	1598	207000.0	116	Manuelni
Mazda	Valjevo	700000	2001	Monovolumen (MiniVan)	Dizel	1998	250000.0	101	Manuelni
Opel	Beograd	16290	2024	Hečbek	Benzin	1199	2000.0	75	Manuelni
BMW	Kragujevac	6800	2010	Džip/SUV	Dizel	1995	210300.0	143	Manuelni
Audi	Čačak	999000	1991	Limuzina	Benzin + Gas (TNG)	1600	301313.0	71	Manuelni
Suzuki	Novi Banovci	2999	2007	Hečbek	Benzin + Gas (TNG)	1586	295000.0	107	Manuelni
Kia	Beograd	12700	2018	Džip/SUV	Benzin	1248	67000.0	84	Manuelni
Ford	Kostolac	5600	2012	Monovolumen (MiniVan)	Benzin	1595	220000.0	150	Manuelni
Audi	Aleksinac	12800	2011	Džip/SUV	Dizel	1968	218000.0	170	Automatski
DS	Beograd	22000	2019	Džip/SUV	Dizel	1997	225000.0	177	Automatski
Hyundai	Beograd	18000	2023	Hečbek	Benzin	1498	24700.0	110	Manuelni
Volvo	Ruma	2300	2006	Karavan	Dizel	1998	339000.0	136	Manuelni
Audi	Beograd	3950	2005	Hečbek	Dizel	1968	205654.0	140	Manuelni
Škoda	Vranje	2600	2020	Džip/SUV	Benzin	1495	74000.0	150	Manuelni
Dacia	Kragujevac	3300	2009	Hečbek	Benzin	1390	95000.0	75	Manuelni
Volkswagen	Ruma	3800	2010	Hečbek	Benzin	1197	135000.0	105	Manuelni
Volkswagen	Novi Banovci	4000	2010	Karavan	Benzin + Metan (CNG)	1398	235412.0	150	Manuelni
Renault	Banovo Brdo	11499	2017	Limuzina	Dizel	1461	188000.0	110	Automatski
Ford	Srbobran	800000	1997	Hečbek	Benzin	1299	81589.0	50	Manuelni
Volkswagen	Obrenovac	14400	2015	Limuzina	Dizel	1598	205000.0	120	Automatski
Peugeot	Novi Sad	5900	2010	Hečbek	Dizel	1997	230000.0	150	Manuelni
Škoda	Beograd	6400	2015	Hečbek	Dizel	1600	240000.0	105	Manuelni
Seat	Vladičin Han	800000	2002	Karavan	Dizel	1896	314218.0	90	Manuelni
Porsche	Beograd	84900	2022	Džip/SUV	Benzin	2995	43710.0	340	Automatski
Renault	Zemun	5850	2013	Karavan	Dizel	1461	195792.0	90	Manuelni
BMW	Beograd	82300	2022	Džip/SUV	Dizel	2993	50000.0	286	Automatski
Audi	Rakovica	800000	1998	Hečbek	Benzin	1595	275125.0	101	Manuelni
Opel	Šabac	11999	2017	Hečbek	Dizel	1598	127900.0	136	Manuelni
Volkswagen	Novi Beograd	4000	2005	Hečbek	Benzin	1984	220000.0	200	Manuelni
Volkswagen	Kragujevac	37900	2023	Džip/SUV	Dizel	1968	55700.0	150	Automatski
Volkswagen	Beograd	4300	2006	Hečbek	Dizel	1896	252277.0	105	Automatski
Alfa Romeo	Beograd	2800	2010	Hečbek	Benzin	1368	250000.0	120	Manuelni
Volkswagen	Valjevo	3000	2002	Limuzina	Dizel	1896	240000.0	131	Manuelni
Suzuki	Zrenjanin	3150	2006	Džip/SUV	Benzin	1328	162560.0	90	Manuelni
BMW	Beograd	54999	2020	Kupe	Benzin	2998	135000.0	340	Automatski
Renault	Niš	299000	2002	Hečbek	Benzin + Gas (TNG)	1149	302185.0	58	Manuelni
Volkswagen	Ečka	4999	2010	Hečbek	Dizel	1600	262000.0	105	Manuelni
Škoda	Ugrinovci	2900	2003	Karavan	Dizel	1896	274425.0	101	Manuelni
Fiat	Kragujevac	1400	2002	Hečbek	Benzin	1242	238661.0	60	Manuelni
Opel	Ribari	850000	2008	Hečbek	Benzin + Gas (TNG)	1997	149124.0	126	Manuelni
Škoda	Novi Beograd	5990	2016	Limuzina	Benzin	999	194000.0	95	Manuelni
Audi	Požega	2050	2005	Hečbek	Dizel	1968	320000.0	140	Manuelni
Mazda	Novi Beograd	14700	2017	Limuzina	Dizel	2191	154810.0	175	Manuelni
Citroen	Beograd	2200	2007	Limuzina	Benzin	1749	166000.0	125	Manuelni
Ford	Zvezdara	1950	2004	Kupe	Benzin	1597	205000.0	94	Manuelni
Fiat	Novi Sad	5000	2011	Hečbek	Benzin	1242	16000.0	60	Manuelni
Lada	Prokuplje	3150	2007	Džip/SUV	Benzin + Gas (TNG)	1700	190000.0	80	Manuelni
Renault	Jagodina	11300	2019	Hečbek	Dizel	1461	172838.0	95	Manuelni
Audi	Beograd	17000	2011	Kupe	Benzin	3000	208000.0	299	Automatski
Opel	Niš	3700	2007	Monovolumen (MiniVan)	Benzin	1598	188000.0	105	Manuelni
Nissan	Novi Sad	4990	2013	Hečbek	Benzin	1198	164801.0	98	Manuelni
Peugeot	Dolovo	870000	2005	Hečbek	Benzin	1124	223000.0	60	Manuelni
Honda	Čukarica	1300	1990	Hečbek	Benzin + Gas (TNG)	1590	224000.0	109	Manuelni
Audi	Kragujevac	1150	2001	Hečbek	Dizel	1896	340000.0	110	Manuelni
Citroen	Zrenjanin	7000	2017	Hečbek	Dizel	1560	207721.0	75	Manuelni
Volkswagen	Niš	8750	2014	Limuzina	Dizel	1968	186669.0	140	Manuelni
Volkswagen	Kovin	9499	2012	Hečbek	Dizel	1598	259000.0	105	Automatski
Peugeot	Beograd	11870	2018	Džip/SUV	Dizel	1499	117780.0	102	Manuelni
Citroen	Sopot	4199	2011	Limuzina	Benzin	1397	130215.0	95	Manuelni
Mercedes Benz	Beograd	22800	2001	Kabriolet/Roadster	Benzin	5000	171000.0	306	Automatski
Citroen	Kragujevac	7600	2017	Limuzina	Benzin	1200	130000.0	82	Manuelni
Renault	Subotica	3250	2015	Hečbek	Dizel	1461	176900.0	75	Manuelni
Volvo	Inđija	3000	2004	Džip/SUV	Dizel	2401	350000.0	163	Automatski
Škoda	Aleksinac	3499	2009	Hečbek	Benzin	1198	140000.0	69	Manuelni
Peugeot	Beška	1350	2006	Hečbek	Benzin	1360	205000.0	75	Manuelni
Volkswagen	Obrenovac	14400	2015	Limuzina	Dizel	1598	205000.0	120	Automatski
Fiat	Sombor	2550	2007	Hečbek	Benzin	1108	198500.0	54	Manuelni
Volkswagen	Novi Sad	4900	2011	Hečbek	Benzin + Gas (TNG)	1198	184000.0	60	Manuelni
Ford	Prijepolje	2450	2006	Monovolumen (MiniVan)	Dizel	1753	286000.0	114	Manuelni
Volkswagen	Sremski Karlovci	3300	2006	Monovolumen (MiniVan)	Benzin + Metan (CNG)	1998	248580.0	109	Manuelni
Opel	Beograd	2250	2003	Hečbek	Benzin	1598	205555.0	101	Manuelni
Seat	Beograd	5299	2014	Hečbek	Dizel	1199	157000.0	75	Manuelni
Volkswagen	Kula	2100	2006	Monovolumen (MiniVan)	Dizel	1896	260000.0	105	Manuelni
Renault	Kraljevo	1900	2007	Karavan	Dizel	1870	235541.0	131	Manuelni
Škoda	Niš	2550	2003	Karavan	Benzin + Gas (TNG)	1781	248000.0	150	Manuelni
